Name;Platform;Genre;Publisher;Global_Sales (MM);Year
English Training: Have Fun Improving Your Skills!;DS;Misc;Nintendo;3.33;2006
James Bond 007: Nightfire;PS2;Shooter;Electronic Arts;3.33;2002
Ratchet & Clank;PS2;Platform;Sony Computer Entertainment;3.33;2002
Mario Party 9;Wii;Misc;Nintendo;3.32;2012
Star Wars Episode III: Revenge of the Sith;PS2;Action;LucasArts;3.32;2005
Max Payne;PS2;Shooter;Take-Two Interactive;3.31;2001
The Lord of the Rings: The Return of the King;PS2;Action;Electronic Arts;3.28;2003
Assassin's Creed Syndicate;PS4;Action;Ubisoft;3.28;2015
Destiny;XOne;Shooter;Activision;3.28;2014
True Crime: Streets of LA;PS2;Action;Activision;3.27;2003
Wii Music;Wii;Misc;Nintendo;3.27;2008
Gran Turismo (PSP);PSP;Racing;Sony Computer Entertainment;3.27;2009
Monster Hunter X;3DS;Action;Capcom;3.26;2015
Tekken;PS;Fighting;Sony Computer Entertainment;3.24;1995
FIFA 16;XOne;Sports;Electronic Arts;3.23;2015
L.A. Noire;PS3;Adventure;Take-Two Interactive;3.23;2011
Madden NFL 16;PS4;Sports;Electronic Arts;3.22;2015
Yokai Watch 2 Ganso/Honke;3DS;Role-Playing;Nintendo;3.22;2014
007: Tomorrow Never Dies;PS;Shooter;Electronic Arts;3.21;1999
Baseball;NES;Sports;Nintendo;3.2;1983
Killer Instinct;SNES;Fighting;Nintendo;3.2;1995
WWF SmackDown! 2: Know Your Role;PS;Fighting;THQ;3.2;2000
Crisis Core: Final Fantasy VII;PSP;Role-Playing;Square Enix;3.19;2007
God of War: Chains of Olympus;PSP;Action;Sony Computer Entertainment;3.19;2008
Dragon Quest VI: Maboroshi no Daichi;SNES;Role-Playing;Enix Corporation;3.19;1995
Dance Central;X360;Misc;MTV Games;3.19;2010
Enter the Matrix;PS2;Action;Atari;3.18;2003
Super Mario Maker;WiiU;Platform;Nintendo;3.18;2015
Fallout: New Vegas;PS3;Role-Playing;Bethesda Softworks;3.17;2010
Rhythm Heaven;DS;Misc;Nintendo;3.17;2008
Ace Combat 04: Shattered Skies;PS2;Simulation;Sony Computer Entertainment Europe;3.17;2001
Club Penguin: Elite Penguin Force;DS;Adventure;Disney Interactive Studios;3.16;2008
Animal Crossing;GC;Simulation;Nintendo;3.15;2001
LEGO Batman: The Videogame;DS;Action;Warner Bros. Interactive Entertainment;3.15;2008
Sonic Rush;DS;Platform;Sega;3.15;2005
Resident Evil 6;PS3;Shooter;Capcom;3.15;2012
Halo: The Master Chief Collection;XOne;Shooter;Microsoft Game Studios;3.15;2014
FIFA Soccer 08;PS2;Sports;Electronic Arts;3.14;2007
Spider-Man;PS;Action;Activision;3.13;2000
Need for Speed III: Hot Pursuit;PS;Racing;Electronic Arts;3.12;1998
Star Wars Episode I Racer;N64;Racing;Nintendo;3.12;1999
Personal Trainer: Cooking;DS;Misc;Nintendo;3.12;2006
The Elder Scrolls IV: Oblivion;PS3;Role-Playing;Ubisoft;3.12;2007
Dragon Warrior IV;NES;Role-Playing;Enix Corporation;3.12;1990
Heavy Rain;PS3;Adventure;Sony Computer Entertainment;3.12;2010
Mass Effect 2;X360;Role-Playing;Electronic Arts;3.11;2010
FIFA 15;X360;Sports;Electronic Arts;3.11;2014
Dragon Ball Z: Budokai;PS2;Fighting;Atari;3.09;2002
Madden NFL 2002;PS2;Sports;Electronic Arts;3.08;2001
World Class Track Meet;NES;Sports;Namco Bandai Games;3.08;1986
Borderlands 2;X360;Shooter;Take-Two Interactive;3.07;2012
The Legend of Zelda: A Link Between Worlds;3DS;Action;Nintendo;3.07;2013
Donkey Kong;GB;Platform;Nintendo;3.07;1994
The Sims: Vacation;PC;Simulation;Electronic Arts;3.07;2002
Mass Effect 3;X360;Role-Playing;Electronic Arts;3.07;2012
Kung Fu Panda;X360;Action;Activision;3.05;2008
Far Cry 3;X360;Shooter;Ubisoft;3.04;2012
Epic Mickey;Wii;Platform;Disney Interactive Studios;3.04;2010
Saints Row 2;X360;Action;THQ;3.03;2008
Rayman;PS;Platform;Ubisoft;3.03;1995
Killzone 2;PS3;Shooter;Sony Computer Entertainment;3.02;2009
Tom Clancy's Splinter Cell;XB;Action;Ubisoft;3.02;2002
Mike Tyson's Punch-Out!!;NES;Fighting;Nintendo;3.02;1987
WWE SmackDown! Shut Your Mouth;PS2;Sports;THQ;3.02;2002
Gears of War: Ultimate Edition;XOne;Shooter;Microsoft Game Studios;3.0;2015
NBA 2K13;X360;Sports;Take-Two Interactive;3.0;2012
Dragon Ball Z: Budokai Tenkaichi 3;PS2;Fighting;Atari;3.0;2007
Middle-Earth: Shadow of Mordor;PS4;Action;Warner Bros. Interactive Entertainment;2.99;2014
Star Fox;SNES;Shooter;Nintendo;2.99;1993
The Sims: Livin Large;PC;Misc;Electronic Arts;2.99;2000
World Soccer Winning Eleven 6 International;PS2;Sports;Konami Digital Entertainment;2.99;2002
Devil May Cry;PS2;Action;Capcom;2.99;2001
Animal Crossing: Happy Home Designer;3DS;Simulation;Nintendo;2.98;2015
Battlefield: Bad Company 2;PS3;Shooter;Electronic Arts;2.97;2010
The Sims 4;PC;Simulation;Electronic Arts;2.97;2014
Star Wars: The Old Republic;PC;Role-Playing;Electronic Arts;2.97;2011
Sonic Heroes;PS2;Platform;Sega;2.96;2003
Kirby Super Star Ultra;DS;Platform;Nintendo;2.96;2008
Hitman 2: Silent Assassin;PS2;Action;Eidos Interactive;2.96;2002
Street Fighter IV;X360;Fighting;Capcom;2.95;2009
Wave Race 64;N64;Racing;Nintendo;2.94;1996
SOCOM II: U.S. Navy SEALs;PS2;Shooter;Sony Computer Entertainment;2.94;2003
WWE SmackDown! vs. RAW 2006;PS2;Fighting;THQ;2.94;2005
inFAMOUS;PS3;Action;Sony Computer Entertainment;2.94;2009
Pac-Man Collection;GBA;Puzzle;Atari;2.94;2001
Mass Effect;X360;Role-Playing;Microsoft Game Studios;2.93;2007
WarioWare: Smooth Moves;Wii;Puzzle;Nintendo;2.92;2006
Cooking Mama: Cook Off;Wii;Simulation;505 Games;2.91;2007
Super Mario World 2: Yoshi's Island;GBA;Platform;Nintendo;2.91;2002
FIFA 14;PS4;Sports;Electronic Arts;2.9;2013
Titanfall;XOne;Shooter;Electronic Arts;2.9;2014
Sonic Mega Collection Plus;PS2;Misc;Sega;2.9;2004
Sega Superstars Tennis;X360;Sports;Sega;2.9;2008
World Soccer Winning Eleven 7 International;PS2;Sports;Konami Digital Entertainment;2.9;2003
Need for Speed: Most Wanted;PS3;Racing;Electronic Arts;2.89;2012
Hot Shots Golf 3;PS2;Sports;Sony Computer Entertainment;2.89;2001
Call of Duty: Finest Hour;PS2;Shooter;Activision;2.89;2004
Zumba Fitness 2;Wii;Sports;Majesco Entertainment;2.88;2011
Syphon Filter;PS;Shooter;Sony Computer Entertainment;2.88;1999
Imagine: Babyz;DS;Simulation;Ubisoft;2.88;2007
Colin McRae Rally;PS;Racing;Codemasters;2.87;1998
Call of Duty: Ghosts;XOne;Shooter;Activision;2.86;2013
Madden NFL 13;X360;Sports;Electronic Arts;2.86;2012
The Elder Scrolls III: Morrowind;XB;Role-Playing;Ubisoft;2.86;2002
Mortal Kombat;PS3;Fighting;Warner Bros. Interactive Entertainment;2.85;2011
F-Zero;SNES;Racing;Nintendo;2.85;1990
Yoshi's Story;N64;Platform;Nintendo;2.85;1997
Command & Conquer: Red Alert;PC;Strategy;Virgin Interactive;2.85;1996
Skylanders: Spyro's Adventure;Wii;Action;Activision;2.85;2011
FIFA 16;PS3;Sports;Electronic Arts;2.85;2015
Assassin's Creed: Brotherhood;PS3;Action;Ubisoft;2.84;2010
BioShock;X360;Shooter;Take-Two Interactive;2.83;2007
Madden NFL 10;X360;Sports;Electronic Arts;2.83;2009
Medal of Honor;PS3;Shooter;Electronic Arts;2.83;2010
WWE SmackDown! vs. Raw;PS2;Fighting;THQ;2.83;2002
Metroid Prime;GC;Shooter;Nintendo;2.82;2002
Finding Nemo;GBA;Action;THQ;2.82;2003
Myst;PC;Adventure;Red Orb;2.81;1994
Need for Speed: Hot Pursuit;PS3;Racing;Electronic Arts;2.81;2010
Imagine: Fashion Designer;DS;Simulation;Ubisoft;2.81;2007
WWE SmackDown! Here Comes the Pain;PS2;Fighting;THQ;2.8;2003
Star Wars: The Force Unleashed;X360;Action;LucasArts;2.8;2008
Yoshi's Island DS;DS;Platform;Nintendo;2.8;2006
Hot Shots Golf;PS;Sports;Sony Computer Entertainment;2.79;1997
Killzone 3;PS3;Shooter;Sony Computer Entertainment;2.79;2011
A Bug's Life;PS;Platform;Sony Computer Entertainment;2.79;1998
WWF SmackDown! Just Bring It;PS2;Fighting;THQ;2.79;2001
Dragon Quest V: Tenkuu no Hanayome;SNES;Role-Playing;Enix Corporation;2.79;1992
Mortal Kombat Trilogy;PS;Fighting;GT Interactive;2.79;1996
Battlefield 3;PC;Shooter;Electronic Arts;2.79;2011
NBA Street;PS2;Sports;Electronic Arts;2.79;2001
Professor Layton and the Last Specter;DS;Puzzle;Nintendo;2.79;2009
Monster Hunter Tri;3DS;Role-Playing;Nintendo;2.79;2011
Jak II;PS2;Platform;Sony Computer Entertainment;2.78;2003
inFAMOUS: Second Son;PS4;Action;Sony Computer Entertainment;2.78;2014
Ratchet & Clank: Going Commando;PS2;Platform;Sony Computer Entertainment;2.78;2003
Tekken 6;PS3;Fighting;Namco Bandai Games;2.78;2009
The Sims;PS2;Simulation;Electronic Arts;2.77;2003
Sonic and the Secret Rings;Wii;Platform;Sega;2.77;2007
Saints Row: The Third;X360;Action;THQ;2.77;2011
Missile Command;2600;Shooter;Atari;2.76;1980
Mario Paint;SNES;Misc;Nintendo;2.75;1992
Assassin's Creed IV: Black Flag;PS4;Action;Ubisoft;2.74;2013
Pokémon Stadium 2;N64;Strategy;Nintendo;2.73;2000
Metroid;NES;Action;Nintendo;2.73;1986
L.A. Noire;X360;Adventure;Take-Two Interactive;2.72;2011
Call of Duty 3;X360;Shooter;Activision;2.71;2006
The Legend of Zelda: A Link to the Past;GBA;Action;Nintendo;2.7;2002
Onimusha: Warlords;PS2;Action;Virgin Interactive;2.7;2001
Mortal Kombat X;PS4;Fighting;Warner Bros. Interactive Entertainment;2.7;2015
Mario Party;N64;Misc;Nintendo;2.7;1998
Madden NFL 12;X360;Sports;Electronic Arts;2.69;2011
LEGO Star Wars II: The Original Trilogy;PS2;Action;LucasArts;2.69;2006
Madden NFL 11;X360;Sports;Electronic Arts;2.69;2010
Mario vs. Donkey Kong: Mini-Land Mayhem!;DS;Puzzle;Nintendo;2.69;2010
Skate 3;X360;Sports;Electronic Arts;2.68;2010
Burnout 3: Takedown;PS2;Racing;Electronic Arts;2.68;2004
Yokai Watch 2 Shinuchi;3DS;Role-Playing;Level 5;2.68;2014
Need for Speed: Shift;PS3;Racing;Electronic Arts;2.68;2009
Final Fantasy XIII-2;PS3;Role-Playing;Square Enix;2.68;2011
Mortal Kombat;GEN;Fighting;Arena Entertainment;2.67;1992
Call Of Duty 2: Big Red One;PS2;Shooter;Activision;2.67;2005
Guitar Hero: World Tour;X360;Misc;Activision;2.67;2008
Medal of Honor;PS;Shooter;Electronic Arts;2.67;1998
Fable;XB;Role-Playing;Microsoft Game Studios;2.66;2004
Hannah Montana;DS;Action;Disney Interactive Studios;2.65;2006
Tom Clancy's Splinter Cell;PS2;Action;Ubisoft;2.65;2003
Skylanders Giants;Wii;Action;Activision;2.65;2012
Medal of Honor Heroes;PSP;Shooter;Electronic Arts;2.65;2006
Super Mario Bros.: The Lost Levels;NES;Platform;Nintendo;2.65;1986
Star Wars: Shadows of the Empire;N64;Action;Nintendo;2.65;1996
LEGO Star Wars: The Complete Saga;X360;Action;LucasArts;2.64;2007
Midnight Club: Street Racing;PS2;Racing;Take-Two Interactive;2.63;2000
Pac-Man: Adventures in Time;PSP;Fighting;Sony Computer Entertainment;2.63;2006
Halo Wars;X360;Strategy;Microsoft Game Studios;2.63;2009
God of War Collection;PS3;Action;Sony Computer Entertainment;2.63;2009
ESPN NFL 2K5;PS2;Sports;Sega;2.62;2004
Mario Strikers Charged;Wii;Sports;Nintendo;2.62;2007
Medal of Honor;X360;Shooter;Electronic Arts;2.62;2010
FIFA Soccer 10;X360;Sports;Electronic Arts;2.62;2009
NBA 2K12;X360;Sports;Take-Two Interactive;2.62;2011
Style Savvy;DS;Simulation;Nintendo;2.61;2008
Harry Potter and the Chamber of Secrets;PS2;Action;Electronic Arts;2.61;2002
Super Mario All-Stars: Limited Edition;Wii;Platform;Nintendo;2.6;2010
Streets of Rage;GEN;Action;Sega;2.6;1990
FIFA Soccer 09;PS3;Sports;Electronic Arts;2.59;2008
Ratchet & Clank Future: Tools of Destruction;PS3;Platform;Sony Computer Entertainment;2.59;2007
NBA Live 2005;PS2;Sports;Electronic Arts;2.59;2004
LittleBigPlanet;PSP;Platform;Sony Computer Entertainment;2.58;2009
Killzone: Shadow Fall;PS4;Shooter;Sony Computer Entertainment;2.58;2013
Ghostbusters: The Video Game (DS Version);X360;Action;Take-Two Interactive;2.58;2009
Monster Hunter Freedom 2;PSP;Role-Playing;Capcom;2.58;2007
WWE SmackDown vs. RAW 2007;PS2;Fighting;THQ;2.58;2006
Ratchet & Clank: Up Your Arsenal;PS2;Platform;Sony Computer Entertainment;2.57;2004
Art Academy;DS;Misc;Nintendo;2.57;2010
Dragon Age: Origins;X360;Role-Playing;Electronic Arts;2.57;2009
Madden NFL 08;PS2;Sports;Electronic Arts;2.57;2007
Sonic Adventure 2 Battle;GC;Platform;Sega;2.56;2001
Dragon Warrior II;NES;Role-Playing;Enix Corporation;2.56;1987
Madden NFL 13;PS3;Sports;Electronic Arts;2.56;2012
Pokémon Colosseum;GC;Role-Playing;Nintendo;2.54;2003
Deca Sports;Wii;Sports;Konami Digital Entertainment;2.54;2008
Madden NFL 09;X360;Sports;Electronic Arts;2.54;2008
Crazy Taxi;PS2;Racing;Acclaim Entertainment;2.52;2001
Perfect Dark;N64;Action;Nintendo;2.52;2000
Game Party;Wii;Misc;Midway Games;2.52;2007
Dragon Warrior;NES;Role-Playing;Capcom;2.52;1986
Tomb Raider (2013);PS3;Action;Square Enix;2.51;2013
Marvel: Ultimate Alliance;X360;Role-Playing;Activision;2.5;2006
PES 2009: Pro Evolution Soccer;PS2;Sports;Konami Digital Entertainment;2.5;2008
Mario Party 2;N64;Misc;Nintendo;2.5;1999
Saints Row: The Third;PS3;Action;THQ;2.49;2011
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB;Action;Take-Two Interactive;2.49;2003
LEGO Harry Potter: Years 1-4;Wii;Action;Warner Bros. Interactive Entertainment;2.49;2010
Mortal Kombat: Deadly Alliance;PS2;Fighting;Midway Games;2.49;2002
Resistance 2;PS3;Shooter;Sony Computer Entertainment;2.48;2008
Pure;X360;Racing;Disney Interactive Studios;2.48;2008
Tomb Raider: The Last Revelation;PS;Action;Eidos Interactive;2.48;1998
NBA 2K13;PS3;Sports;Take-Two Interactive;2.48;2012
NBA 2K14;X360;Sports;Take-Two Interactive;2.47;2013
Mario Party 4;GC;Misc;Nintendo;2.47;2002
uDraw Studio;Wii;Misc;THQ;2.46;2010
Midnight Club: Los Angeles;PS3;Racing;Take-Two Interactive;2.45;2008
Final Fantasy V;SNES;Role-Playing;SquareSoft;2.45;1992
Final Fantasy Tactics;PS;Role-Playing;SquareSoft;2.45;1997
Twisted Metal 2;PS;Racing;Sony Computer Entertainment;2.44;1996
Halo: Combat Evolved Anniversary;X360;Shooter;Microsoft Game Studios;2.44;2011
Need for Speed Carbon: Own the City;PSP;Racing;Electronic Arts;2.44;2006
The Sims: Bustin' Out;PS2;Simulation;Electronic Arts;2.43;2003
Riven: The Sequel to Myst;PC;Adventure;Red Orb;2.43;1997
Tom Clancy's Rainbow Six: Vegas 2;X360;Shooter;Ubisoft;2.42;2008
Sonic Adventure;DC;Platform;Sega;2.42;1998
Ice Hockey;NES;Sports;Nintendo;2.42;1988
pro evolution soccer 2011;PS3;Sports;Konami Digital Entertainment;2.42;2010
Dragon Ball Z: Budokai 2;PS2;Fighting;Atari;2.41;2003
ATV Offroad Fury;PS2;Racing;Sony Computer Entertainment;2.41;2001
Dino Crisis;PS;Action;Capcom;2.41;1998
Minecraft;XOne;Misc;Microsoft Game Studios;2.41;2014
Need for Speed: ProStreet;PS2;Racing;Electronic Arts;2.41;2007
Madden NFL 16;XOne;Sports;Electronic Arts;2.4;2015
Tetris Plus;PS;Puzzle;JVC;2.4;1996
Pro Wrestling;NES;Fighting;Nintendo;2.4;1987
Theme Hospital;PC;Strategy;Electronic Arts;2.4;1997
Need for Speed (2015);PS4;Racing;Electronic Arts;2.39;2015
Zumba Fitness;X360;Sports;505 Games;2.39;2010
Monopoly;PC;Misc;Hasbro Interactive;2.39;1994
Batman: Arkham Origins;PS3;Action;Warner Bros. Interactive Entertainment;2.39;2013
Dead Island;X360;Action;Deep Silver;2.39;2011
Guitar Hero;PS2;Misc;RedOctane;2.38;2005
LEGO Star Wars: The Complete Saga;PS3;Action;LucasArts;2.38;2007
Kinect: Disneyland Adventures;X360;Misc;Microsoft Game Studios;2.38;2011
WCW/nWo Revenge;N64;Fighting;THQ;2.38;1998
Bloodborne;PS4;Action;Sony Computer Entertainment;2.38;2015
NBA 2K15;PS4;Sports;Take-Two Interactive;2.38;2014
Madden NFL 11;PS3;Sports;Electronic Arts;2.38;2010
Yu-Gi-Oh! The Duelists of the Roses;PS2;Misc;Konami Digital Entertainment;2.38;2001
Madden NFL 08;X360;Sports;Electronic Arts;2.37;2007
Half-Life 2;PC;Shooter;Vivendi Games;2.37;2004
The Incredibles;PS2;Action;THQ;2.37;2004
Tony Hawk's Underground 2;PS2;Sports;Activision;2.37;2004
Madden NFL 10;PS3;Sports;Electronic Arts;2.37;2009
Kinect Sports: Season Two;X360;Sports;Microsoft Game Studios;2.36;2011
Kirby's Dream Land 2;GB;Platform;Nintendo;2.36;1995
LEGO Harry Potter: Years 1-4;DS;Action;Warner Bros. Interactive Entertainment;2.35;2010
Donkey Kong Land II;GB;Platform;Nintendo;2.35;1996
Dragon Warrior Monsters;GB;Role-Playing;Eidos Interactive;2.35;1998
Midnight Club: Los Angeles;X360;Racing;Take-Two Interactive;2.35;2008
Skylanders SWAP Force;Wii;Platform;Activision;2.34;2013
WWE SmackDown vs Raw 2008;PS2;Fighting;THQ;2.34;2007
My Fitness Coach;Wii;Sports;Ubisoft;2.34;2008
Resident Evil - Code: Veronica X;PS2;Action;Capcom;2.34;2001
The Sims 3;X360;Simulation;Electronic Arts;2.33;2010
The Legend of Zelda: Majora's Mask 3D;3DS;Action;Nintendo;2.32;2015
NBA 2K16;XOne;Sports;Take-Two Interactive;2.32;2015
Just Dance Kids;Wii;Misc;Ubisoft;2.32;2010
Mario Tennis;N64;Sports;Nintendo;2.32;2000
Grand Theft Auto;PS;Action;Take-Two Interactive;2.32;1997
James Bond 007: Everything or Nothing;PS2;Shooter;Electronic Arts;2.31;2004
WarioWare Touched!;DS;Puzzle;Nintendo;2.31;2004
Need For Speed: High Stakes;PS;Racing;Electronic Arts;2.31;1999
Chrono Trigger;SNES;Role-Playing;SquareSoft;2.31;1995
Cool Boarders 3;PS;Sports;989 Studios;2.31;1998
LEGO Marvel Super Heroes;X360;Action;Warner Bros. Interactive Entertainment;2.3;2013
Guild Wars 2;PC;Action;NCSoft;2.3;2012
Pokemon Ranger: Shadows of Almia;DS;Role-Playing;Nintendo;2.3;2008
Dead Island;PS3;Action;Deep Silver;2.29;2011
Tomb Raider II;PC;Action;Eidos Interactive;2.29;1997
God of War: Ascension;PS3;Action;Sony Computer Entertainment;2.29;2013
Need for Speed Underground 2;XB;Racing;Electronic Arts;2.28;2004
Pro Evolution Soccer 2010;PS3;Sports;Konami Digital Entertainment;2.28;2009
Just Dance 2015;Wii;Misc;Ubisoft;2.28;2014
Yokai Watch Busters;3DS;Action;Level 5;2.28;2015
Mario Bros.;NES;Platform;Nintendo;2.28;1983
FIFA Soccer 09;PS2;Sports;Electronic Arts;2.28;2008
Star Wars: The Force Unleashed;PS3;Action;LucasArts;2.28;2008
Borderlands 2;PS3;Shooter;Take-Two Interactive;2.28;2012
TOCA Touring Car Championship;PS;Racing;Codemasters;2.28;1997
Paper Mario: Sticker Star;3DS;Role-Playing;Nintendo;2.27;2012
Sonic's Ultimate Genesis Collection;PS3;Misc;Sega;2.27;2009
Super Monkey Ball: Banana Blitz;Wii;Misc;Sega;2.27;2006
Kirby: Nightmare in Dream Land;GBA;Platform;Nintendo;2.27;2002
Wario Land 4;GBA;Platform;Nintendo;2.26;2001
Guitar Hero III: Legends of Rock;PS3;Misc;Activision;2.26;2007
Resident Evil 4;Wii;Action;Capcom;2.26;2007
Minecraft;PSV;Misc;Sony Computer Entertainment Europe;2.25;2014
Onimusha 2: Samurai's Destiny;PS2;Adventure;Capcom;2.25;2002
Cool Boarders 2;PS;Sports;UEP Systems;2.25;1997
Paper Mario: The Thousand-Year Door;GC;Role-Playing;Nintendo;2.25;2004
Madden NFL 12;PS3;Sports;Electronic Arts;2.25;2011
Monster Hunter Tri;Wii;Role-Playing;Nintendo;2.25;2009
Dissidia: Final Fantasy;PSP;Fighting;Square Enix;2.25;2008
Sonic Advance;GBA;Platform;Sega;2.24;2001
Spyro: Season of Ice;GBA;Platform;Vivendi Games;2.23;2001
Teenage Mutant Ninja Turtles II: The Arcade Game;NES;Action;Konami Digital Entertainment;2.23;1990
LEGO Indiana Jones: The Original Adventures;DS;Action;Activision;2.23;2008
Dance Dance Revolution X2;PS2;Simulation;Konami Digital Entertainment;2.23;2009
New Super Luigi U;WiiU;Platform;Nintendo;2.22;2013
Prince of Persia: The Sands of Time;PS2;Action;Ubisoft;2.22;2003
Scribblenauts;DS;Puzzle;Warner Bros. Interactive Entertainment;2.22;2009
The Legend of Zelda: Link's Awakening DX;GB;Adventure;Nintendo;2.22;1998
Need for Speed: Hot Pursuit;X360;Racing;Electronic Arts;2.22;2010
BioShock 2;X360;Shooter;Take-Two Interactive;2.21;2010
Assassin's Creed IV: Black Flag;XOne;Action;Ubisoft;2.21;2013
Devil May Cry 3: Dante's Awakening Special Edition;PS2;Action;Capcom;2.21;2006
Rock Band 2;X360;Misc;Electronic Arts;2.2;2008
Frogger;2600;Action;Parker Bros.;2.2;1981
Guitar Hero II;X360;Misc;Activision;2.2;2007
Wario Land 3;GB;Platform;Nintendo;2.2;2000
Pro Yakyuu Family Stadium;NES;Sports;Namco Bandai Games;2.2;1986
Sonic Unleashed;Wii;Platform;Sega;2.2;2008
High School Musical: Makin' the Cut!;DS;Puzzle;Disney Interactive Studios;2.2;2007
Pro Evolution Soccer 2012;PS3;Action;Konami Digital Entertainment;2.19;2011
Saints Row;X360;Action;THQ;2.19;2006
Star Wars: Knights of the Old Republic;XB;Role-Playing;Activision;2.19;2003
Kirby's Pinball Land;GB;Misc;Nintendo;2.19;1992
Donkey Kong Country;GB;Platform;Nintendo;2.19;2000
Hitman: Absolution;PS3;Action;Square Enix;2.19;2012
Yu-Gi-Oh: Duel Monsters 4;GB;Role-Playing;Konami Digital Entertainment;2.18;2000
ATV Offroad Fury 2;PS2;Racing;THQ;2.18;2002
Forza Motorsport 5;XOne;Racing;Microsoft Game Studios;2.18;2013
Madden NFL 25;X360;Sports;Electronic Arts;2.18;2013
Pokemon Ranger;DS;Role-Playing;Nintendo;2.18;2006
Mario & Luigi: Superstar Saga;GBA;Role-Playing;Nintendo;2.17;2003
Final Fantasy XIII;X360;Role-Playing;Square Enix;2.17;2010
Star Wars: Rogue Squadron;N64;Simulation;Nintendo;2.17;1998
Tennis;NES;Sports;Nintendo;2.17;1984
The Sims: House Party;PC;Simulation;Electronic Arts;2.16;2001
Your Shape featuring Jenny McCarthy;Wii;Sports;Ubisoft;2.16;2009
Syphon Filter 2;PS;Shooter;Sony Computer Entertainment;2.15;2000
Tom Clancy's Rainbow Six: Siege;PS4;Shooter;Ubisoft;2.15;2015
Volleyball;NES;Sports;Nintendo;2.15;1987
FIFA 15;XOne;Sports;Electronic Arts;2.15;2014
Call of Duty: Roads to Victory;PSP;Shooter;Activision;2.14;2007
Super Mario RPG: Legend of the Seven Stars;SNES;Role-Playing;Nintendo;2.14;1996
Mahjong;NES;Misc;Nintendo;2.14;1983
R.C. Pro-Am;NES;Racing;Nintendo;2.14;1988
SimCity 2000;PC;Simulation;Maxis;2.14;1992
Demon Attack;2600;Shooter;Imagic;2.13;1981
Dance Dance Revolution Extreme;PS2;Simulation;Konami Digital Entertainment;2.13;2004
Tetris DS;DS;Puzzle;Nintendo;2.13;2006
Final Fantasy Tactics Advance;GBA;Role-Playing;SquareSoft;2.13;2003
Far Cry: Primal;PS4;Action;Ubisoft;2.13;2016
Toy Story 3: The Video Game;DS;Action;Disney Interactive Studios;2.12;2010
Final Fantasy III;DS;Role-Playing;Square Enix;2.12;2006
Kirby's Epic Yarn;Wii;Platform;Nintendo;2.12;2010
Project Gotham Racing;XB;Racing;Microsoft Game Studios;2.12;2001
Golf;GB;Sports;Nintendo;2.12;1989
NBA 2K12;PS3;Sports;Take-Two Interactive;2.11;2011
Borderlands;PS3;Shooter;Take-Two Interactive;2.11;2009
Tony Hawk's Pro Skater;N64;Sports;Activision;2.11;2000
PES 2009: Pro Evolution Soccer;PS3;Sports;Konami Digital Entertainment;2.11;2008
Need for Speed: Hot Pursuit 2;PS2;Racing;Electronic Arts;2.11;2002
Mario Sports Mix;Wii;Sports;Nintendo;2.11;2010
Dynasty Warriors 4;PS2;Action;Tecmo Koei;2.11;2003
Mortal Kombat;X360;Fighting;Warner Bros. Interactive Entertainment;2.11;2011
Parasite Eve;PS;Role-Playing;SquareSoft;2.1;1998
Scooby-Doo! Night of 100 Frights;PS2;Platform;THQ;2.1;2002
Project Gotham Racing (JP weekly sales);XB;Action;Microsoft Game Studios;2.1;2002
Need for Speed: Most Wanted 5-1-0;PSP;Racing;Electronic Arts;2.1;2005
Portal 2;X360;Shooter;Valve Software;2.1;2011
Devil May Cry 3: Dante's Awakening;PS2;Action;Capcom;2.09;2005
Derby Stallion;PS;Sports;ASCII Entertainment;2.09;1997
Dead Rising;X360;Action;Capcom;2.09;2006
Finding Nemo;PS2;Action;THQ;2.09;2003
NBA 2K11;X360;Action;Take-Two Interactive;2.09;2010
Wipeout: The Game;Wii;Misc;Mindscape;2.09;2009
The Sims 2: Pets;DS;Simulation;Electronic Arts;2.09;2006
Battlefield: Hardline;PS4;Shooter;Electronic Arts;2.09;2015
Metal Gear Solid: Peace Walker;PSP;Action;Konami Digital Entertainment;2.09;2010
World of Warcraft: Cataclysm;PC;Role-Playing;Activision;2.08;2010
Tetris Worlds;PS2;Puzzle;THQ;2.08;2002
Need For Speed: Undercover;PS3;Racing;Electronic Arts;2.08;2008
Dance Dance Revolution: Hottest Party;Wii;Simulation;Konami Digital Entertainment;2.08;2007
Mario Party 5;GC;Misc;Nintendo;2.08;2003
Ghostbusters: The Video Game (DS Version);PS3;Action;Take-Two Interactive;2.08;2010
Sim Theme Park;PC;Strategy;Electronic Arts;2.08;1998
Warcraft: Orcs & Humans;PC;Strategy;Activision;2.08;1994
Skate 3;PS3;Sports;Electronic Arts;2.08;2010
Spec Ops: Airborne Commando;PS;Shooter;Take-Two Interactive;2.07;2002
Kingdom Hearts: Birth by Sleep;PSP;Role-Playing;Square Enix;2.07;2010
UFC 2009 Undisputed;X360;Fighting;THQ;2.07;2009
Dark Souls;PS3;Role-Playing;Namco Bandai Games;2.07;2011
Yu-Gi-Oh! The Eternal Duelist Soul;GBA;Strategy;Konami Digital Entertainment;2.07;2001
Need for Speed: ProStreet;X360;Racing;Electronic Arts;2.06;2007
